Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,Loss function,Optimizer,EarlyStopPatience,Batch size,Epochs,EarlyStop At,Learning rate,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-January-23 16:34,ta/d_dataset_4/prep_exp10_nolnorm,fc,0.20570657466709305,0.40736043,0.07834813442463673,0.2013499156622248,0.40262517,0.0824125346185618,,,671.6487951278688,mse,RMSProp,,128,150,,0.005,3,,"(45398, 41, 39)","(45398, 17)",,
2,True,2020-January-23 16:45,ta/d_dataset_4/prep_exp10_nolfnorm,fc,9829.141663385502,98.83477020263672,-969418.7764795736,9829.081385027295,98.83441925048828,-969617.08856323,,,673.5148656368257,mse,RMSProp,,128,150,,0.005,3,,"(45398, 41, 39)","(45398, 17)",,
3,True,2020-January-24 09:55,ta/d_dataset_4/prep_exp10,fc,1.6525868786773554,0.9524741768836976,0.05485046077068445,1.6365359226568463,0.9449305534362792,0.06094407328066497,,,466.37853479385376,mse,RMSProp,,64,50,,0.005,1,,"(45398, 41, 39)","(45398, 17)",,weights.200-0.9345.h5
4,True,2020-January-24 10:19,ta/d_dataset_4/prep_exp10,fc,1.3665339226838045,1.05078387260437,-0.16373122442792942,1.3508357511989104,1.0433635711669922,-0.16041037848331485,,,1048.951143026352,mse,RMSProp,,128,200,,0.005,1,,"(45398, 41, 39)","(45398, 17)",,
6,True,2020-January-24 12:36,ta/d_dataset_4/prep_exp10_l4,self_norm_fc,1.1402726230539828,0.9879836440086364,-0.012330736971374993,1.1406103936413496,0.9886441230773926,-0.017237306117777296,,,1047.3009123802183,mse,RMSProp,,128,200,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
7,True,2020-January-24 12:51,ta/d_dataset_4/prep_exp10_l4,fc,0.7934030176122848,0.8079689741134644,0.3122294058161462,0.7732138555637559,0.7958546280860901,0.32935095139931897,,,852.6214179992676,mse,RMSProp,,128,200,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
8,True,2020-January-24 13:22,ta/d_dataset_4/prep_exp10_l4,fc_large,1.0255958867433328,0.9837605357170104,-0.0003795741106140672,1.0240408006550912,0.9832781553268432,-0.0032921950704674074,,,417.3990688323975,mse,RMSProp,,256,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
9,True,2020-January-24 13:53,ta/d_dataset_4/prep_exp10_l4,fc_large_batchnorm,0.9034093305966818,0.8940173983573914,0.16962734505022692,0.8889231442258059,0.8865742683410645,0.18007493348259607,,,497.2198226451874,mse,RMSProp,,256,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
10,True,2020-January-24 14:47,ta/d_dataset_4/prep_exp10_l4,fc_large_batchnorm,0.09171405018736148,0.2880640923976898,0.9082515923703623,0.5993885218788305,0.7308349013328552,0.3978614915630128,,,686.5163021087646,mse,RMSProp,,128,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
11,True,2020-January-24 15:15,ta/d_dataset_4/prep_exp10_l4,bilstm,0.3137050297857513,0.5348863005638123,0.6861774520490539,0.5147327718957101,0.6806640625,0.482870021248169,,,200.42249846458438,mse,RMSProp,,128,10,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
12,True,2020-January-24 15:21,ta/d_dataset_4/prep_exp10_l4,bilstm,0.4093307769163584,0.6104010343551636,0.5905158812826307,0.5039398624312869,0.6742965579032898,0.4937514681228732,,,159.35746932029724,mse,RMSProp,,128,10,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
13,True,2020-January-24 15:29,ta/d_dataset_4/prep_exp10_l4,bilstm,0.4156643603781708,0.6173015236854553,0.5841799254670823,0.519607091726505,0.6857286095619202,0.4780114563525985,,,293.40977931022644,mse,RMSProp,,128,20,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
16,True,2020-January-25 13:25,ta/d_dataset_4/prep_exp10_l4,cnn_bilstm,0.6488664810014373,0.787481963634491,0.3508904454474856,0.6432390488314682,0.7837544083595276,0.35374781752092177,,,1499.7806134223938,mse,RMSProp,,64,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
15,True,2020-January-25 13:58,ta/d_dataset_4/prep_exp10_l4,bilstm,0.4449215809245105,0.6493082046508789,0.5549117454205863,0.5849932679681756,0.7398393154144287,0.4122605455818523,,,1898.1235814094546,mse,RMSProp,,64,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
17,True,2020-January-25 15:16,ta/d_dataset_4/prep_exp10_l4,bilstm,0.21452518852711605,0.4476138949394226,0.7853944476787134,0.6079302775162754,0.7368971705436707,0.3894172562634498,,,2485.912318468094,mse,RMSProp,,64,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
18,True,2020-January-25 15:54,ta/d_dataset_4/prep_exp10_l4,cnn_bilstm,0.1691507486720627,0.3892599046230316,0.8307858849474697,0.6075539475983818,0.7289614677429199,0.3897072012817401,,,2218.6043784618373,mse,RMSProp,,64,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
20,True,2020-January-25 16:51,ta/d_dataset_4/prep_exp10_l4,cnn_bilstm,0.058681899295109925,0.23043859004974365,0.9412961177112464,0.6146661756569858,0.7407287359237671,0.3824824729374391,,,2108.894675970077,mse,RMSProp,,64,100,,0.005,4,,"(45398, 41, 39)","(45398, 17)",,
21,True,2020-January-25 17:33,ta/d_dataset_4/prep_exp10_l4,bilstm,0.027093129639617883,0.15861593186855316,0.9728967208901356,0.7908811734659772,0.8531842231750488,0.2055074378271292,,,2412.3567187786107,mse,RMSProp,,64,100,,0.0001,4,,"(45398, 41, 39)","(45398, 17)",,
22,True,2020-January-25 18:09,ta/d_dataset_4/prep_exp10_l4,cnn_bilstm,0.038466264547470715,0.18721799552440643,0.9615193254848676,0.7556708326258543,0.8328452706336975,0.2408568648965267,,,2151.70264172554,mse,RMSProp,,64,100,,0.0001,4,,"(45398, 41, 39)","(45398, 17)",,
