Experiment_no,Disyllable,Date,Dataset,Model,Type CNN,Train Loss,Train RMSE,Train R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,Loss function,Optimizer,EarlyStopPatience,Batch size,Epochs,Learning rate,Train feature shape,Label shape,test_size(%),val_size(%),Load_save,Load_checkpoint,EarlyStop At
1,True,2019-December-19 12:20,ta/d_dataset_2/prep_data,DNN,False,0.016621693,0.12880942,0.049530731,0.016545899,0.12858173,0.056472002,,,5413.850434,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,676.0
2,True,2019-December-19 13:25,ta/d_dataset_2/prep_data,BiLSTM-old,False,0.000912493,0.02743163,0.944188638,0.003474991,0.058398135,0.8097781759999999,0.097241074,0.687559079,3189.837637,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,55.0
3,True,2019-December-19 14:04,ta/d_dataset_2/prep_data,LSTM,False,0.001680262,0.039110459,0.8991741590000001,0.00354856,0.059021357,0.807296315,,,2321.868653,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,92.0
4,True,2019-December-19 14:17,ta/d_dataset_2/prep_data,CNN,True,0.003299015,0.056580871,0.714190725,0.004887084,0.069727995,0.616901872,,,725.8342535,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39, 1)","(153094, 18)",0.05,0.05,,,35.0
5,False,2019-December-19 14:26,ta/m_dataset_1/prep_data,DNN,False,0.01742353,0.131871656,-0.004960487,0.017311585,0.131463721,-0.005374163,,,366.2298021,mse,amsgrad,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,86.0
6,False,2019-December-19 16:41,ta/m_dataset_1/prep_data,BiLSTM-old,False,0.000615891,0.02172148,0.961220437,0.002801154,0.052218832,0.8394897370000001,,,1359.612879,mse,amsgrad,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,73.0
7,False,2019-December-19 16:59,ta/m_dataset_1/prep_data,LSTM,False,0.001348821,0.033946104,0.916289167,0.003921545,0.062009014,0.7814711679999999,,,1052.326553,mse,amsgrad,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,64.0
8,False,2019-December-19 17:15,ta/m_dataset_1/prep_data,CNN,True,0.001828878,0.041340303,0.8742031109999999,0.00392525,0.062371146,0.760540104,,,965.1159537,mse,amsgrad,20,128,1000,0.001,"(77224, 25, 39, 1)","(77224, 18)",0.05,0.05,,,76.0
9,True,2019-December-19 17:58,ta/d_dataset_2/prep_data,BiLSTM,False,0.000806783,0.024769055,0.950570104,0.002798492,0.052241459,0.8450912509999999,0.08529981199999999,0.725831683,1674.759708,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
11,True,2019-December-21 09:18,ta/d_dataset_2/prep_data,BiLSTM - 3,False,0.001335287,0.033742346,0.919326074,0.002694466,0.051272113,0.852014838,,,1503.488983,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
12,True,2019-December-21 09:59,ta/d_dataset_2/prep_data,BiLSTM - 4,False,0.001323534,0.033812676,0.918965366,0.00282255,0.052529797,0.839272529,,,2375.882802,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
13,True,2019-December-21 10:33,ta/d_dataset_2/prep_data,BiLSTM - 5,False,0.002629747,0.050231259,0.846416233,0.003051112,0.054900263,0.8269014170000001,,,1940.683239,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
14,True,2019-December-21 11:08,ta/d_dataset_2/prep_data,BiLSTM - 6,False,0.001899757,0.041899893,0.884082905,0.003081068,0.054983541,0.826422855,,,2001.975329,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
15,True,2019-December-21 11:27,ta/d_dataset_2/prep_data,BiLSTM - 7,False,0.000915107,0.026774522,0.944886131,0.002681273,0.051098578,0.851696463,,,1117.966833,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
16,True,2019-December-21 12:28,ta/d_dataset_2/prep_data,BiLSTM - 8,False,0.00098377,0.027689395,0.939120119,0.0026985840000000004,0.05134242,0.8498968370000001,,,920.8562195,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
17,True,2019-December-21 12:49,ta/d_dataset_2/prep_data,BiLSTM - 9,False,0.000918712,0.026694313,0.942354561,0.0025815770000000003,0.05014177,0.852518085,,,1138.302133,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
18,True,2019-December-21 13:25,ta/d_dataset_2/prep_data,BiLSTM - 10,False,0.00095106,0.027745616,0.939086908,0.00278451,0.051943183,0.845034011,,,2104.791034,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
10,False,2019-December-21 13:53,ta/m_dataset_1/prep_data,BiLSTM,False,0.000543279,0.020371478,0.966467025,0.002905584,0.053274829,0.8371979890000001,0.112502418,0.624164986,1645.278776,mse,amsgrad,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
19,True,2019-December-21 16:21,ta/d_dataset_2/prep_data,BiLSTM - early10 - 1,False,0.001207517,0.031136941,0.927348423,0.002554106,0.049963754000000006,0.856556742,0.079545952,0.754708385,777.8091182999997,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
20,True,2019-December-21 16:37,ta/d_dataset_2/prep_data,BiLSTM - early10 - 3,False,0.001693719,0.038327619,0.8994893190000001,0.002748712,0.051858384,0.847150739,,,899.0085297,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
21,True,2019-December-21 17:02,ta/d_dataset_2/prep_data,BiLSTM - early10 - 4,False,0.001652595,0.038582135,0.8991315040000001,0.002770176,0.051995255,0.8440627279999999,,,1425.480348,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
22,True,2019-December-21 17:43,ta/d_dataset_2/prep_data,BiLSTM - early10 - 5,False,0.002385865,0.047595512,0.857237503,0.003076179,0.055070993,0.8240530770000001,,,2362.42092,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
23,True,2019-December-21 18:12,ta/d_dataset_2/prep_data,BiLSTM - early10 - 6,False,0.002008812,0.043247543,0.877399963,0.003007895,0.054349344,0.82884912,,,1626.203726,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
24,True,2019-December-21 18:24,ta/d_dataset_2/prep_data,BiLSTM - early10 - 7,False,0.001178972,0.030872954,0.929762224,0.002756404,0.051863551,0.848420431,,,669.7932155,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
25,True,2019-December-21 18:40,ta/d_dataset_2/prep_data,BiLSTM - early10 - 8,False,0.000970153,0.027614677,0.939443836,0.00255372,0.049897704,0.855015788,,,922.3865001,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
26,True,2019-December-21 18:53,ta/d_dataset_2/prep_data,BiLSTM - early10 - 9,False,0.001225514,0.031408828,0.926411383,0.002899668,0.053280257,0.841477885,,,696.001008,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
27,True,2019-December-21 19:05,ta/d_dataset_2/prep_data,BiLSTM - early10 - 10,False,0.001581239,0.036716111,0.903603151,0.002770825,0.052092824,0.843379663,,,614.3645129,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
29,True,2019-December-23 14:06,ta/d_dataset_2/prep_data,DNN - Bn,False,0.002023299,0.043409653,0.8614852940000001,0.003631246,0.059368163,0.758494115,,,908.2334437,mse,amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
30,False,2019-December-23 14:23,ta/m_dataset_1/prep_data,DNN - Bn,False,0.000359657,0.018001527,0.972121006,0.001885994,0.042986989,0.882967747,,,989.1531327,mse,amsgrad,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
28,False,2019-December-23 14:30,ta/m_dataset_1/prep_data,DNN - Bn - early10,False,0.00120354,0.03161661,0.923279227,0.002118526,0.04565962,0.863916667,0.143865526,0.176033114,395.4231951,mse,amsgrad,10,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
31,True,2019-December-23 15:03,ta/d_dataset_2/prep_data,BiLSTM - early10 - 11,False,0.0061861880000000005,0.078369208,0.645390669,0.006621229,0.08104621599999999,0.6121539970000001,,,1164.797318,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
32,False,2019-December-23 15:11,ta/m_dataset_1/prep_data,BiLSTM - early10 - 11,False,0.008570007,0.091507852,0.381734811,0.009171542,0.095626161,0.357530738,,,454.8132272,mse,amsgrad,10,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
33,True,2019-December-23 15:24,ta/d_dataset_2/prep_data,BiLSTM - rmseOps,False,0.038319363,0.038323861,0.899712361,0.052850321,0.05286558,0.839773526,,,303.2197917,[<function rmse at 0x00000190CC42DD90>],amsgrad,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
34,False,2019-December-23 15:28,ta/m_dataset_1/prep_data,BiLSTM - rmseOps,False,0.037887929,0.037892755,0.8991368259999999,0.052071442,0.052092556,0.8362016170000001,,,224.7155905,[<function rmse at 0x00000190CC42DD90>],amsgrad,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
35,True,2019-December-23 17:26,ta/d_dataset_2/prep_data,BiLSTM - early10 - 12,False,0.000638689,0.022111541,0.961036027,0.0027342240000000004,0.051608637,0.8514462340000001,,,1591.3403039999994,mse,amsgrad,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
37,True,2019-December-24 09:36,ta/d_dataset_2/prep_data,,False,0.0013925,0.034215953,0.916559577,0.00274968,0.051762644,0.8455102859999999,,,722.6081457,mse,rmsprop,20,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
38,False,2019-December-24 09:42,ta/m_dataset_1/prep_data,,False,0.003032438,0.037398573,0.792458129,0.005680308,0.055536456,0.635620372,,,356.2572463,mse,rmsprop,20,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
39,True,2019-December-24 10:04,ta/d_dataset_2/prep_data,,False,0.0013935279999999998,0.03428236,0.910954973,0.0026025510000000003,0.050498001,0.8446745240000001,,,1003.716956,mse,rmsprop,10,128,1000,0.001,"(153094, 15, 39)","(153094, 18)",0.05,0.05,,,
40,False,2019-December-24 10:08,ta/m_dataset_1/prep_data,,False,0.007783895,0.048207812,0.254266754,0.007945421,0.063658282,0.257468913,,,234.542244,mse,rmsprop,10,128,1000,0.001,"(77224, 25, 39)","(77224, 18)",0.05,0.05,,,
37,False,2019-December-27 09:48,ta/m_dataset_2_sm/prep_data,bilstm,False,0.0014531779999999998,0.036171738,0.912326473,0.004092572,0.06292972,0.778835533,,,285.9447517,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
38,False,2019-December-27 10:03,ta/m_dataset_2_sm/prep_data,bilstm_12,False,0.000479842,0.020459715,0.970600627,0.003870916,0.061728638,0.791734776,,,900.6785254,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
39,False,2019-December-27 10:17,ta/m_dataset_2_sm/prep_data,bilstm_13,False,0.000767267,0.026035437,0.952158021,0.004039423,0.06300284,0.7845592779999999,,,762.1442914,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
40,False,2019-December-27 10:32,ta/m_dataset_2_sm/prep_data,bilstm_14,False,0.00168321,0.039371803,0.899022228,0.00379199,0.060818600999999986,0.793967475,,,373.2108436,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
41,False,2019-December-27 10:41,ta/m_dataset_2_sm/prep_data,bilstm_15,False,0.0015482789999999998,0.037646953,0.906669435,0.00405987,0.063149042,0.784673023,,,521.8982921,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
42,False,2019-December-27 11:17,ta/m_dataset_2_sm/prep_data,bilstm_16,False,0.000914007,0.028190253,0.944742372,0.004013912,0.062779814,0.78540183,,,632.3338668,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
43,False,2019-December-27 11:23,ta/m_dataset_2_sm/prep_data,bilstm_17,False,0.001750292,0.040442448,0.8937421790000001,0.004285187,0.06483902799999999,0.767623963,,,334.4479537,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
44,False,2019-December-27 11:29,ta/m_dataset_2_sm/prep_data,bilstm_18,False,0.001264859,0.033491671,0.922349682,0.003906454,0.061599385,0.789650944,,,317.4094756,mse,rmsprop,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
45,False,2019-December-27 11:56,ta/m_dataset_2_sm/prep_data,bilstm_19,False,0.001237309,0.03343825,0.923797419,0.003970856,0.062257376,0.784032381,,,250.6162519,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
46,False,2019-December-27 12:00,ta/m_dataset_2_sm/prep_data,bilstm_20,False,0.001371624,0.035238195,0.915963937,0.003903769,0.061901201,0.791745567,,,195.1183693,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
47,False,2019-December-27 12:05,ta/m_dataset_2_sm/prep_data,bilstm_21,False,0.001599954,0.038574088,0.901778237,0.003897673,0.06193048900000001,0.791563681,0.16749255400000002,0.053029267000000005,179.1582034,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
48,False,2020-January-03 12:06,ta/m_dataset_2_sm/prep_data,fc_bilstm_fc,False,8.97e-05,0.009215575,0.993090779,0.003313782,0.056490023,0.820529897,,,994.2059581,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
49,False,2020-January-03 12:27,ta/m_dataset_2_sm/prep_data,fc_bilstm_fc_drop,False,0.001143122,0.031855129,0.931997807,0.002755875,0.051735248,0.847199868,0.135518372,0.425361863,1191.088312,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
50,False,2020-January-03 12:36,ta/m_dataset_2_sm/prep_data,fc_bilstm_fc_2,False,0.000217854,0.014199091,0.983436596,0.003986924,0.062398441,0.785518642,,,550.9872782000001,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
51,False,2020-January-03 12:56,ta/m_dataset_2_sm/prep_data,fc_bilstm_fc_2_drop,False,0.001145127,0.032302465,0.930960328,0.0029058940000000004,0.053376086,0.842836135,,,1122.361616,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
52,False,2020-January-03 13:16,ta/m_dataset_2_sm/prep_data,fc_bilstm_cnn_c,False,0.000922875,0.028988631,0.944447282,0.002755936,0.051747631,0.848507015,0.124632806,0.574470392,1208.278773,mse,AMSGrad,20,128,1000,0.001,"(69139, 13, 39)","(69139, 18)",0.05,0.05,,,
53,False,2020-January-03 16:13,ta/m_dataset_3_u/prep_data,fc_bilstm_fc_drop_m3,False,0.001240242,0.033307042,0.918301919,0.00275996,0.051520769,0.8411879040000001,0.085881434,0.7807300209999999,701.9059186000003,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
54,False,2020-January-03 16:21,ta/m_dataset_3_u/prep_data,fc_bilstm_fc_2_drop_m3,False,0.00171447,0.039396908,0.889591846,0.002782502,0.051837206,0.839566044,0.07780382799999999,0.8424762179999999,468.50296,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
55,False,2020-January-03 16:34,ta/m_dataset_3_u/prep_data,fc_bilstm_cnn_fc_drop_m3,False,0.001103958,0.031843416,0.926514933,0.0028163840000000003,0.052247763,0.837190236,0.09587983,0.759110175,754.2653835,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
56,False,2020-January-03 16:57,ta/m_dataset_3_u/prep_data,fc_bilstm_fc_drop_m3_rmse,False,0.044596466,0.044599298,0.864356908,0.054317417,0.054279573,0.8263716940000001,,,256.4035013,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
57,False,2020-January-03 17:01,ta/m_dataset_3_u/prep_data,fc_bilstm_fc_2_drop_m3_rmse,False,0.049331317,0.049335871,0.837331789,0.053841312,0.053819243,0.8252134440000001,,,180.7224469,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
58,False,2020-January-03 17:04,ta/m_dataset_3_u/prep_data,fc_bilstm_cnn_fc_drop_m3_rmse,False,0.048064356,0.04806871,0.84600887,0.054334183,0.054334588,0.8223099429999999,,,198.607106,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
59,False,2020-January-03 17:09,ta/m_dataset_3_u/prep_data,nn_fbc_3_rmse,False,0.045689272,0.045695897,0.860542312,0.056681745,0.056640003,0.816054545,,,269.99608900000004,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
60,False,2020-January-03 17:13,ta/m_dataset_3_u/prep_data,nn_fbc_4_rmse,False,0.052041577,0.052046705,0.822477737,0.058263867,0.058249012,0.8005344590000001,,,212.8372226,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
61,False,2020-January-03 17:19,ta/m_dataset_3_u/prep_data,nn_fbc_5_rmse,False,0.051863383,0.05186995900000002,0.8239399209999999,0.056687921,0.05666557,0.8111899229999999,,,283.9875789,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
62,False,2020-January-03 17:22,ta/m_dataset_3_u/prep_data,nn_fbc_6_rmse,False,0.047804565,0.047809765,0.84658952,0.053960462,0.053925395,0.825017565,,,203.87887,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
63,False,2020-January-03 17:28,ta/m_dataset_3_u/prep_data,nn_fbc_7_rmse,False,0.051740632,0.051745966,0.826440285,0.056988256,0.056973677,0.808103789,,,290.0518124,[<function rmse at 0x0000027B96E861E0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
64,False,2020-January-03 17:41,ta/m_dataset_3_u/prep_data,nn_fbc_3,False,0.001290818,0.034190249,0.91506626,0.002637929,0.050473351,0.8478949379999999,,,797.628752,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
65,False,2020-January-03 17:53,ta/m_dataset_3_u/prep_data,nn_fbc_4,False,0.0016981429999999998,0.039235655,0.8913953029999999,0.002788201,0.051961187,0.838344843,,,672.6026452000001,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
66,False,2020-January-03 18:11,ta/m_dataset_3_u/prep_data,nn_fbc_5,False,0.0016495529999999998,0.038403187000000005,0.8969257829999999,0.0029678940000000004,0.053493533,0.831950272,,,1076.622691,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
67,False,2020-January-03 18:26,ta/m_dataset_3_u/prep_data,nn_fbc_6,False,0.001065344,0.031111557,0.92950185,0.002723925,0.051360365,0.8408421159999999,0.104265191,0.656972075,843.5919982999999,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
70,False,2020-January-03 20:41,ta/m_dataset_3_u/prep_data,nn_fbc_9,False,0.002194015,0.045004204000000006,0.861314453,0.002880481,0.052813072,0.829935416,,,578.5355806,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
72,False,2020-January-03 21:16,ta/m_dataset_3_u/prep_data,nn_fbc_11,False,0.00149949,0.036758758,0.901823344,0.0024708670000000003,0.048925482,0.851714222,0.104975156,0.664103007,1565.839366,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
73,False,2020-January-03 21:38,ta/m_dataset_3_u/prep_data,nn_fbc_12,False,0.00184791,0.040674731,0.8829641220000001,0.002797216,0.052058894,0.836238032,,,1284.283444,mse,AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
74,False,2020-January-03 21:56,ta/m_dataset_3_u/prep_data,nn_fbc_9,False,0.062739281,0.0627435,0.7533809020000001,0.062214202,0.062179912,0.770005101,,,71.16651535,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,5,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
75,False,2020-January-03 21:58,ta/m_dataset_3_u/prep_data,nn_fbc_10,False,0.064642539,0.064646639,0.7374206999999999,0.062837115,0.062850401,0.7642520490000001,,,70.99965048,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,5,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
76,False,2020-January-03 22:00,ta/m_dataset_3_u/prep_data,nn_fbc_11,False,0.067941697,0.067946225,0.6979936309999999,0.064456181,0.064450383,0.7316078309999999,,,70.00910234,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,5,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
77,False,2020-January-03 22:01,ta/m_dataset_3_u/prep_data,nn_fbc_12,False,0.06216305,0.062167615,0.7552878059999999,0.062772392,0.062742904,0.766262233,,,70.49665833,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,5,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
78,False,2020-January-03 22:06,ta/m_dataset_3_u/prep_data,nn_fbc_9,False,0.051779915,0.051784623,0.825055192,0.05564191,0.055610392,0.81581095,,,255.91233280000003,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
79,False,2020-January-03 22:11,ta/m_dataset_3_u/prep_data,nn_fbc_10,False,0.054963895,0.054968711,0.8060020590000001,0.057887212,0.05788077,0.8021285570000001,,,259.2828071,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
80,False,2020-January-03 22:15,ta/m_dataset_3_u/prep_data,nn_fbc_11,False,0.052949935,0.05295456900000002,0.815108157,0.056375637,0.056355949,0.8092054790000001,,,253.94725040000003,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
81,False,2020-January-03 22:20,ta/m_dataset_3_u/prep_data,nn_fbc_12,False,0.05289535,0.05289917400000002,0.8176656309999999,0.058933373,0.05891309700000001,0.7950537129999999,,,257.77581569999995,[<function rmse at 0x0000016CD34AB2F0>],AMSGrad,20,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
82,False,2020-January-03 22:30,ta/m_dataset_3_u/prep_data,nn_fbc_9,False,0.056353186,0.056358881,0.7974921070000001,0.060207893,0.06016431,0.79090572,,,132.55209109999998,[<function rmse at 0x00000255276CC268>],AMSGrad,10,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
83,False,2020-January-03 22:33,ta/m_dataset_3_u/prep_data,nn_fbc_10,False,0.058743795,0.058750115,0.780743906,0.059705469,0.059680305,0.788690225,,,134.0771205,[<function rmse at 0x00000255276CC268>],AMSGrad,10,128,1000,0.001,"(44052, 13, 39)","(44052, 18)",0.05,0.05,,,
